rawDataOut1,rawDataOut2,rawDataOut3,rawDataOut4,rawDataOut5,rawDataOut6,rawDataOut7,rawDataOut8
40158,39130,41067,39842,39763,40000,39921,40079
38972,38458,40672,39644,39407,39565,39644,39684
38340,36917,40079,39684,39446,39446,39486,39525
38695,37233,39684,39842,39644,39605,39446,39644
39328,39605,39525,39842,39921,40000,39605,39763
39209,41462,39960,39921,40039,40158,39644,39802
39249,41858,40079,39644,39802,39486,39446,39644
40356,42371,40079,39486,39486,38933,39407,39486
40553,42569,40039,39525,39565,39051,39525,39446
39684,41107,40000,39842,39842,39565,39684,39723
39723,39091,40000,39605,39328,39525,39802,39960
39842,37984,40237,39407,39051,39605,39802,40039
39881,38221,40593,39525,39486,40158,40000,40079
39644,39288,41027,39763,39763,40356,39960,39723
38814,39644,40790,39842,39881,40000,39802,39644
38972,40711,40079,39802,39842,39525,39565,39921
39605,41976,39486,39644,39960,39525,39407,39881
40118,42174,39091,39842,40435,40039,39446,39723
40316,41541,39091,40158,40830,40276,39605,39684
40830,41146,39565,40237,40711,40237,39723,40000
40751,40751,40158,40118,40237,40237,39802,40079
39881,40000,40316,39881,39644,39960,39605,39960
39565,38893,40039,39605,39209,39367,39446,39644
39644,38933,39960,39407,39170,39367,39644,39763
39644,39130,39960,39644,39802,39802,39921,40039
39684,38458,39723,39881,40197,40118,39881,40158
39605,38419,39763,39881,40039,40000,39723,40000
39605,39249,40039,39763,39525,39525,39525,39842
39407,38972,40118,39644,39644,39288,39525,39842
39051,38182,40000,39407,39881,39170,39605,39684
39012,39486,39723,39328,39723,38933,39486,39446
39525,39723,39644,39565,39565,39170,39328,39170
39684,37905,39605,39763,39644,39565,39407,39288
39921,37984,39565,39802,39644,39644,39605,39605
40356,40988,39565,39881,39684,39684,39881,40118
40593,42609,39446,39881,39763,39763,40000,40316
40988,42490,39644,39960,40000,40237,40237,40474
41225,42016,39921,39921,40000,40395,40316,40395
40751,41107,39960,39842,39802,40158,40039,40158
40118,40079,39881,39881,39802,40158,39802,40000
39842,40514,39723,39842,40118,40118,39565,39881
39684,40751,39723,39723,40039,39921,39288,39723
39446,39486,39842,39328,39525,39644,39170,39407
39012,38182,40158,39209,39288,39367,39091,39130
38735,38142,40356,39605,39486,39525,39288,39130
38458,38340,40514,40039,40197,39921,39644,39446
38063,37905,40711,40079,40316,40079,39881,39763
38616,38656,40593,39960,39960,39881,39881,40000
39842,39881,40276,39842,39763,39723,39763,40079
40553,40395,39723,39565,39565,39525,39644,39921
40711,40316,39012,39525,39407,39288,39565,39881
40790,40039,38498,39644,39644,39446,39684,40000
40553,39881,38063,39684,39723,39684,39723,39921
40276,39407,38142,39644,39723,40039,39605,39842
39960,38616,38774,39802,39921,40316,39881,39881
39684,38893,40079,40158,40356,40593,40237,40237
39723,40079,41502,40316,40514,40751,40316,40514
40039,41423,41858,40197,40356,40751,40276,40474
40356,41937,41265,39881,40039,40276,39842,40197
39881,41186,40751,39565,39605,39723,39407,39763
37826,39644,40395,39525,39881,39644,39130,39486
36126,39249,40435,39723,40158,39723,39209,39328
38300,39328,40474,39921,40158,39723,39446,39644
41699,39525,39881,40000,39644,39446,39565,39921
42885,39960,38774,40000,39525,39328,39684,39960
41186,40751,38063,40158,39684,39446,39565,39605
37905,41186,37589,39960,39802,39644,39565,39130
37865,41265,37707,40039,40316,40000,39684,38972
38537,40039,39170,40118,40474,40118,39763,39605
39407,37193,40632,39842,40079,39960,39763,40197
40158,36047,41818,39446,39802,39960,39802,40474
39684,38577,42213,39091,39525,39802,39802,40118
38221,41462,41897,38774,38972,39367,39328,39091
40316,42688,41581,39091,39249,39525,39565,39446
44545,43083,41423,39881,40000,40039,40158,41146
44071,41502,40632,40118,40237,40118,40000,41067
40948,39921,39288,40039,40118,40079,39723,40158
37312,39486,38024,40079,40039,40158,39644,39288
36956,39288,37668,40118,39802,40276,39605,39051
38893,38854,37391,39960,39565,40000,39605,39446
39921,38656,37193,39842,39684,39367,39446,39842
